Вакансия,Зарплата,Ссылка,Сайт
Специалист по недвижимости,от 50 000 руб.,https://perm.rabota.ru/vacancy/44566498/,https://perm.rabota.ru/
Клинер,до 42 000 руб.,https://perm.rabota.ru/vacancy/44680328/,https://perm.rabota.ru/
Продавец-консультант в мебельный салон,30 000 — 70 000 руб.,https://perm.rabota.ru/vacancy/44728022/,https://perm.rabota.ru/
Оператор call-центра,10 000 — 18 000 руб.,https://perm.rabota.ru/vacancy/32039983/,https://perm.rabota.ru/
Руководитель отдела продаж,от 45 000 руб.,https://perm.rabota.ru/vacancy/44648409/,https://perm.rabota.ru/
Повар-универсал,25 000 — 30 000 руб.,https://perm.rabota.ru/vacancy/44673528/,https://perm.rabota.ru/
Повар-универсал,от 25 000 руб.,https://perm.rabota.ru/vacancy/44512517/,https://perm.rabota.ru/
Официант,по договоренности,https://perm.rabota.ru/vacancy/44491805/,https://perm.rabota.ru/
Водитель спецтехники,по договоренности,https://perm.rabota.ru/vacancy/44700069/,https://perm.rabota.ru/
Автожестянщик-арматурщик,60 000 — 120 000 руб.,https://perm.rabota.ru/vacancy/44621017/,https://perm.rabota.ru/
"Продавец-консультант (ТЦ ""Планета"")",35 000 — 45 000 руб.,https://perm.rabota.ru/vacancy/44079097/,https://perm.rabota.ru/
Водитель-экспедитор категории Е,от 50 000 руб.,https://perm.rabota.ru/vacancy/44695393/,https://perm.rabota.ru/
Повар-кассир,от 25 000 руб.,https://perm.rabota.ru/vacancy/44675986/,https://perm.rabota.ru/
Менеджер по продажам,от 30 000 руб.,https://perm.rabota.ru/vacancy/44703017/,https://perm.rabota.ru/
Швея,от 30 000 руб.,https://perm.rabota.ru/vacancy/44535449/,https://perm.rabota.ru/
Слесарь-механик,25 000 — 35 000 руб.,https://perm.rabota.ru/vacancy/44699345/,https://perm.rabota.ru/
Полимерщик-отделочник по устройству полов,35 000 — 80 000 руб.,https://perm.rabota.ru/vacancy/44688362/,https://perm.rabota.ru/
Стоматолог-терапевт,по договоренности,https://perm.rabota.ru/vacancy/43153795/,https://perm.rabota.ru/
Повар производства,по договоренности,https://perm.rabota.ru/vacancy/44716037/,https://perm.rabota.ru/
Продавец-консультант ( ТРЦ Планета),от 35 000 руб.,https://perm.rabota.ru/vacancy/44680317/,https://perm.rabota.ru/
Кассир (ТЦ Планета),по договоренности,https://perm.rabota.ru/vacancy/44576519/,https://perm.rabota.ru/
Мерчендайзер Фикс Прайс,22 000 — 26 000 руб.,https://perm.rabota.ru/vacancy/44697277/,https://perm.rabota.ru/
Механик по выпуску автотранспорта,25 000 — 30 000 руб.,https://perm.rabota.ru/vacancy/44689685/,https://perm.rabota.ru/
Оператор call-центра,30 000 — 44 000 руб.,https://perm.rabota.ru/vacancy/44009396/,https://perm.rabota.ru/
Продавец-кассир,от 25 000 руб.,https://perm.rabota.ru/vacancy/44703928/,https://perm.rabota.ru/
Территориальный менеджер,от 51 000 руб.,https://perm.rabota.ru/vacancy/44626951/,https://perm.rabota.ru/
Менеджер по продажам,от 45 000 руб.,https://perm.rabota.ru/vacancy/44727284/,https://perm.rabota.ru/
Продавец-консультант,от 25 000 руб.,https://perm.rabota.ru/vacancy/44688176/,https://perm.rabota.ru/
Дорожный рабочий,по договоренности,https://perm.rabota.ru/vacancy/44716894/,https://perm.rabota.ru/
Охранник 6-го разряда в банк,22 000 — 40 000 руб.,https://perm.rabota.ru/vacancy/44008115/,https://perm.rabota.ru/
Консультант СМР/начинающий консультант СМР,по договоренности,https://perm.rabota.ru/vacancy/44722605/,https://perm.rabota.ru/
Транспортный диспетчер,от 70 000 руб.,https://perm.rabota.ru/vacancy/44715705/,https://perm.rabota.ru/
Сметчик,по договоренности,https://perm.rabota.ru/vacancy/44399505/,https://perm.rabota.ru/
Оператор call-центра,от 40 000 руб.,https://perm.rabota.ru/vacancy/44712216/,https://perm.rabota.ru/
Менеджер по подбору персонала (удалённо),50 000 — 70 000 руб.,https://perm.rabota.ru/vacancy/43912144/,https://perm.rabota.ru/
Кладовщик-комплектовщик,69 000 — 117 000 руб.,https://perm.rabota.ru/vacancy/44725292/,https://perm.rabota.ru/
Мастер цеха,40 000 — 45 000 руб.,https://perm.rabota.ru/vacancy/44634534/,https://perm.rabota.ru/
Официант-бармен,по договоренности,https://perm.rabota.ru/vacancy/44398040/,https://perm.rabota.ru/
Комплектовщик (вахта),до 53 000 руб.,https://perm.rabota.ru/vacancy/44532719/,https://perm.rabota.ru/
Водитель такси,до 98 000 руб.,https://perm.rabota.ru/vacancy/44699093/,https://perm.rabota.ru/
Охранник,16 000 — 30 000 руб.,https://perm.rabota.ru/vacancy/44697210/,https://perm.rabota.ru/
Работник торгового зала,до 35 000 руб.,https://perm.rabota.ru/vacancy/44709452/,https://perm.rabota.ru/
Слесарь по ремонту дорожно-строительной техники,от 40 000 руб.,https://perm.rabota.ru/vacancy/44650309/,https://perm.rabota.ru/
Продавец автозапчастей Renault,от 37 500 руб.,https://perm.rabota.ru/vacancy/44647469/,https://perm.rabota.ru/
Охранник(ТЦ Планета),от 22 500 руб.,https://perm.rabota.ru/vacancy/44200012/,https://perm.rabota.ru/
